품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Poodles(푸들),MN,2274,B_W,새벽 time 에 진돗개에게 물림 급하게 응급처치만 받고 오심 항생제 처치는 받지 않으심 물고 흔드는 장면을 목격하심 ,,"4,15", 교상 (bite wound),전신성의 질환,"통증,출혈",통증,66,2
Shih Tzu(시추),FS              ,2133,F_센트럴, 사경 안구진탕 아침엔 별 이상없었는데 밤에 귀가하여 보니 증상발현 작년에 중성화 양측 외이도 만성염증 vestibule synd. 발생 원인 확인 위해 mri 촬영 권장 익일 오후 time 경 이안 mri 촬영 보호자 동반 예약 보호자분 mri 촬영 취소 증상이 완전히 해소되지 않을 수 있음을 고지 증상 호전 시까지 최소 month 소요 각막궤양 및 기저질환 발현의 가능성 고지 말초성으로 준하여 치료 시행키로 ,,"40,0", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"신경증상(이상행동),기타 증상",신경증상(이상행동),232,6
Maltese(말티즈),MN              ,2031,F_센트럴,cc 바른 동물 병원에서 폐수종 refer year 전에 심장병 진단 받으셨으나 치료는 하지 않음. 금일 미용 하면서 상태 악화 되어 검사 실시 하였으며 폐수종 진단됨 심원성 폐수종에 준하여 치료 하였는데 경과 좋지 않아 refer. 방사선 검사 상 폐 종양 가능성 의심되며 심장 확장도 심함. 혈액 검사 상 염증 수치는 양호. 우선 심원성 폐수종에 준하여 치료 예정이며 예후 불량 가능성 높음 고지 드림. ,,2222, 폐수종 (원인 미정) , 호흡기 질환 ,폐부종,폐부종,228,10
Maltese(말티즈),FS,2275,B_W,집에서 부부싸움과정에서 집어던졌다고함 내원시 두경부에 혈액이 묻어있었으나직접적상처에 의한 출혈이 아니고 보호자의 혈액인듯함 처음내원시 약간 흥분 약간 공격적이었으나 좀뒤에는 얌전해짐 일단 입원치료하면서 지켜보기로함 방사선상과 외관상 신체검사시 특이소견은 관찰되지 않음. dimer만 상승. 전반적인 상태양호. 내일 오전에 dimer와 전해질 재검하고 퇴원 고려. ,,15, 사고 (교통 사고 포함) ,전신성의 질환,출혈,출혈,203,5
Miniature Schnauzer(미니어쳐 슈나우져),MN,2244,D_VIP, refer.서울종합 의뢰병원관련 진료전 전화완료 진료후 전화완료 금일 진단결과 안내드림. 원장님 요청사항 주호소 당뇨평가 체중감소 식욕부진 식욕은 있으나 먹지 못함. 구토 기력저하. pupd 현증경과 눈꼽이 자꾸 끼고 어제부터 구토 보임. 식욕은 있으나 구토 때문에 먹지를 못 함. month 간 안약 넣을 땐 눈꼽 안 끼나 중단하면 다시 눈꼽 낌. 그래서 month 전 재내원하였고 혈액검사 하고 주사 맞고 내복약 처방받음. 다음 날부터 구토 보이고 밥도 더 못 먹고 기력 매우 떨어짐. month 정도 기력 떨어짐. 잠만 많이 잠. pupd 심함. 물 매우 급하게 먹음. month 사이 체중이 조금씩 빠짐. 원래 kg 되던 아이. month 사이 급격히 체중감소 더 심함. 배변상태는 양호함. 관리 받는 질환은 없음. year 부터 키우심. 예방접종 어릴 때만 진행. hw 먹는 제제 간헐적으로 사육환경 indoor. alone. 사료 일반사료. 요근래 table food 많이 먹어서 편식 약간 하는 편. 신체검사 mental alert. hr rr bp bcs mmc pink crt 탈수평가 dehydration. delay skin turgor. no murmur no crackle. 혈액검사 cbc c hyperlipidemia 내원 시 혈당 전해질 fructosamine sdma 영상검사 방사선검사 imaging dx ddx hepatomegaly comment 간의 심한 종대 확인됨 복부초음파 full scan imaging dx ddx hepatic lipidosis secondary to diabetes peritoneal effusion peritonitis acute pancreatitis gastroenteritis comment 간의 전반적인 비대 및 에코 상승 환자의 연령을 고려할 때 당뇨 원발성 지방간의 가능성 높음 간 지방 사이의 미량의 복수 관찰됨 담낭 내 점액성 슬러지 관찰되며 담낭벽의 점액 축적은 미약하나 추후 점액종으로의 발전 가능성 있으므로 초음파검사로의 추적관찰 추천됨 췌장 우측엽의 에코 저하 및 비후 time 는 심하지 않으나 중상복부의 복막염이 중등도 이상으로 확인되며 복압 항진에 의해 췌장 좌측엽 관찰이 불가하므로 혈액검사 등으로의 췌장염 감별 필요 방광목 근위요도 위치의 소량의 고에코 슬러지 관찰됨 방광벽은 양호 위 및 소장의 운동성 저하 관찰됨 위내 다량의 액체 저류 췌장염 복막염에 의한 차적 염증성 변화의 가능성 있음 radiologist 이현아 dvm ms vip동물의료센터 영상의학과 과장 direct tel 내선 mail vip radiology vipah.co.kr 요검사 usg money ketone glu rbc 요침사 상 nrf dx ddx diabetic ketoacidosis protein losing nephropathy diabetic nephropathy susp. chronic kidney disease pancreatitis cholestasis dka 확인되어 입원 하 처치. pancratitis도 의심됨. 췌장염에 의한 형당뇨 가능성도 존재함. 향후 수치 및 증상 모니터링하며 지켜 볼 예정. dka의 경우 예후 불량할 수 있음을 고지함. rx 식이 d 소량 식이test tx 수액처치 plasma solution kcl time eq taurine ornipural vit vit fold. time hr 주사제 regular insuline iu kg im iu kg sc famotidine time kg bid iv metocloramide time kg bid iv maropitant time kg sid sc tramadol time kg bid iv metronidazole time kg bid iv 입원 하 당곡선 체크 예정. ,"췌장염, PLN","27,28,1,10", 당뇨병 ,내분비 질환 ,"체중 변화, 체중 증가, 체중 감소 ,기력저하,구토(급성/만성),다뇨/다발(다음)","체중 변화, 체중 증가, 체중 감소 ",1880,3
Shih Tzu(시추),MN              ,2133,F_센트럴, history 심장약 투약 중 최근 실신 혹은 경련 증상 반복 모견 경련 후 사망 소견 이후 선회 및 peddaling 증상으로 미루어 신경증상 의심됨 month 전부터 설사 혈액성 설사 오렌지 동물병원에서 심인성 폐부종으로 판단되어 이뇨 처방 계속 받고 있음 objective no pulmonic edema astasia recumbency stupor mental plr tactile severely elevated liver enz. hyperphosphatemia elevated renal enz. ce mortality rate 이상 dnr ,,"40,1601,33", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"신경증상(이상행동),실신,떠는 증상, 경련 또는 미진",신경증상(이상행동),312,6
K.C(Korean Cat),MN              ,2095,D_VIP, money 결제완료 효정 폐쇄형 방광염으로 인해서 동사병원에서 요도개통이후 소변을 조금씩 보다가 다시 소변을 잘 못보는것 같다고 하셔서 본병원으로 내원주셨습니다 영상검사 심한 방광팽만 결석없음. 초음파상 슬러지는 그다지 많이 보이지않음 뇨검사 약간의 혈뇨 세균 크리스탈등은 보이지않음 혈액검사 신장수치 상승. 염증수치 상승 flutd중 fic로 확인됩니다. 완치가 아닌 관리의 질환이고 만약 증상이 반복해서 일어난다면 요도구 성형술이 필요할수 있습니다. 주사마취하 요도캐통 및 카테터 설치 입원치료 진행합니다. 매일 신장수치 평가 및 요도플러싱 진행 day 까지 입원후 개통여부 평가후 퇴원여부 결정할 예정입니다. ,,901, 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"배뇨장애(통증, 곤란), 빈뇨, 이소배뇨","배뇨장애(통증, 곤란), 빈뇨, 이소배뇨",345,1
Dachshunds(닥스훈트 ),FS,2031,D_VIP,s 어제밤 산책하고난 후부터 호흡곤란 month 전부터 기침 가끔 함 aus no murmur crackle sound bt rr ray 전반적인 폐침윤 tx cefa furo iv 심질환과 폐질환 감별위해 추가적인 검사 필요하고 입원처치 필요하나 비용적인 부담과 살만큼 살았다고 생각하시기 때문에 더이상의 검사및 처치는 원치 않으시고 약만 좀 달라고 하심 ,,14, 폐수종 (원인 미정) , 호흡기 질환 ,호흡곤란,호흡곤란,200,10
Mixed(혼합),F               ,2091,D_VIP,기절 구토 외음부 삼출물 며칠 전 보호자분 몸살로 앓아누웠을 때 부터 계속 잠만 잠 이틀 전 새벽에는 놀다가 기절했음 의식 없었으며 외음부에서 노란 삼출물이 나왔음 전조증상 모호하며 금방 깨어나서 잘 다님 이후로 위액성 구토 회 있었으며 식욕 떨어져서 간식만 먹음 어제 정상변 본 이후 변은 없음 이물 가능성이 크지는 않으며 변 교육때문에 식초를 뿌려둔 적이 있었음 접종 예방 완료 alert vital sign 양호 mm pink dehydration no murmur crackles 혈액검사상 alkp 상승 두드러지며 crp 중등도로 높음 영상검사상 위벽의 두드러진 비후와 경미한 위확장 확인됨 간 실질 nrf 소장 nrf 복강 림프절 경미하게 종대됨 방광 내 다량의 슬러지 확인됨 질 도말검사상 다량의 염증세포 비각화상피 세균 확인됨 소변검사상 심한 세균성 방광염 확인됨 p 위염 세균성 방광염에 준해 내복약 처방합니다 위염 개선되지 않으면 조영검사 내시경검사 고려 세균성 방광염과 관련하여 항감수 의뢰중 방광염의 기본 치료기간은 month 이며 컨트롤 되지 않는다면 구조적 이상 확인 필요 기절 간수치상승 기절은 단회성의 이벤트이고 증상 모호해서 모니터 하기로 합니다. 간수치는 모니터 하되 개선되지 않으면 간기능검사 필요함 재발시에는 pss 배제 위한 ct 고려중 약 먹으면서 증상 개선 없다면 상위검사 및 입원관리를 위해 내원해주세요 재검 목 간수치 위벽비후 crp 리첵 의뢰병원 통화 완료 by 윤 ,"위염, 간수치상승","1601,1,24", 방광염 , 비뇨기과 질환 ,"실신,구토(급성/만성),삼출물, 분비물, 농루",실신,735,4
K.C(Korean Cat),FS              ,2091,D_VIP,루비 순해요 호비 발톱날카로움 진료시 문다고합니다 미냥 발톱날카로움 리온 순해요 예민해서 체중은 안쪽에서 체크해주세요 퇴실시간 오후 time 사이 time 이전까지 오셔야 하는것 안내드림 구강검사 치석은 그다지 많지는 않음 혈액검사 진행 ,,, 방광염 , 비뇨기과 질환 ,,,133,4
Mixed(혼합),MN,2244,C_잠실ON,s cc 몇개월 전 타병원에서 종합검진시 혈당수치가 높게 나옴 month 전 소변검사에서도 당이 검출됨. 집에서 처방식 사료로 먹이고 계심. 인슐린처치는 하지 않음. 최근 감기걸리는 등 컨디션 저하 식욕도 떨어짐. month 일정도 전 시작 현재 타병원에서 내복약 관리중. ,,, 당뇨병 ,내분비 질환 ,,,153,3
Mixed(혼합),FS,2116,D_VIP, money 결제하심 미리 특이사항 없음. chem nrf 전해질 nrf cbc nrf crp normal range cxr nrf 복강내 매스 음영 살짝 보임 초음파 자궁확장 방광벽비후 난소낭종 자궁은 현재점액종 상태로 보이며 축농증으로 발전 가능성 있습니다. 자궁적출술 진행하고 양측 전적출대신 좌측 편측 전적출로 진행하고 lumpectomy 진행 예정. sx 마취 불안정으로 자궁적출 및 편측전적출만 진행 우측 종양제거는 진행못함. 합병증 없으면 총 비용은 에 맞춰주기로함. 췌장염 혈전증 패혈증 등의 합병증 발생시 비용 추가 발생 안내드림. 주치의 부재로 김혜정선생님께 인계 안내드림. crp 혈압 모니터링. ,,221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",345,8
Maltese(말티즈),F,2133,B_W,비명소리가 들려서 가보니까 대소변을 보고 쓰러져 있었음. 그상태에서 바둥거리고 있었음 이후에 약을 먹고나서 안정을 찾음 신부전관련한 약을 먹이고 계심 중성화수술을 하려고 검진과정에서 신부전이 확인됨 year 전에 급성췌장염 회 작년에 급성췌장염이 다시 재발하였음 중성화수술은 못시키심 plr 정상 원내에서 신경증상 관찰되지 않음 us end stage kideny gb sludge hydrocephalus upc bun crea pi 임상증상의 원인으로 intracranial disease가능성이 높음 익일 azotemia개선 여부에 따라 mri 촬영 예정 tx nac tathione ,"2087, 2121",, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,,,330,6
Schnauzers( 슈나우져),FS,2091,D_VIP,s 오늘 배뇨 시 혈뇨 보임. 오늘은 다량 보임. 그 전에도 간헐적으로 보였었음. 빈뇨 증상은 없음. 배뇨통 있어보임. 배뇨 못 참고 싸버리는 때도 있음. 몇 개월 된 듯함. 식욕 양호. 활력 양호. 하루에 번씩은 설사 연변 보임. 구토 없음. p 전견갑에 cm 가량의 광범위한 지방종 확인됨. 침윤성 지방종 의심. bp고혈압 a cbc hct c alp g ratio . electrolytes idexx 갑상선 panel 의뢰 a 육안 상 매우 심한 혈뇨. 검붉은 불투명한 혈뇨. usg money ph 요침사 상 struvite crystal 다수 rbc 확인됨. rod 노스벳 요 세균배양 의뢰함. 영상검사 방사선검사 finding ddx mild cardiomegaly vhs mild la bulge increased sternal contact mild reverseshaped heart tracheobronchial mineralization rt renal calculi hepatomegaly comment 심장크기는 이전보다 저등도로 증가되었으나 뚜렷한 폐침윤 소견은 확인되지 않음 . 기관 기관벽의 석회화 소견이 증가되어 대사이상 또는 만성 염증 등으로 인한 malasia 진행 가능성이 있으며 tc bc가 추후 발생될 수 있음. 비만 환자로 tc bc 발생시 다른아이들보다 증상이 심화될 수 있음. 이전보다 간종대가 더 진행되었음. 쿠싱 고지혈증 갑기저 당뇨 등의 감별 필요할 수 있음. 이전보다 더욱 지방량이 늘었으며 지방량이 지속 늘 경우 lipoma의 발생율과 이미 있던 lipoma의 급격한 크기 증가를 동반할 수 있기 때문에 다이어트 추천됨. 복부초음파 finding ddx gb sludge vacuolohepatopathy with multiple nodular hyperplasia ckd nephritis lt adg time rt adg time cystitis with echogenic sludge and sludge ball debris inflammation hemorrhage chronic sublumbar lymphadenopathy rt renal calculi time chronic pancreatitis pancreaticoduodenal lymphadenopathy splenic mass . time benign malignant comment 혈뇨의 주 원인은 심한 방광염 때문으로 판단되며 감염성 이라면 요관 신장 역류로 인한 역행성 nephritis 가능성도 배제할 수 없음. 만성 경과로 다양한 호르몬 질환과 면역저하의 기저 상태가 의심되며 현증 치료와 함께 비타민 영양제 급여 등으로 면역력 올려 주는 것이 도움이 될 수 있음. 요추하 림프절의 만성 병증은 비뇨기 염증이 만성이었다는 것을 반증하므로 치료시 약물에 잘 반응할 수는 있으나 완치가 오래 걸리거나 방광내 섬유화된 scar 조직이 남을 수 있음. 만성 췌장염 소견이 확인되어 그에 준한 관리 필요할 수 있음. . 비장 결절은 이전보다 약 배정도로 크기가 커져 있으며 인근에 유사한 작은 결절이 하나 더 발생되어있음. 약성 악성 감별은 절제 후 조직검사가 가장 정확하나 인근 전이 평가를 위해 ct가 도움이 될 수 있음. 전반적인 공포성 간병변으로 쿠싱 고지혈증 갑기저 당뇨 등의 대사성 호르몬성 질환 감별 필요할 수 있음. radiologist 윤학영 dvm phd 현재 혈뇨의 원인으로 세균성 방광염이 주원인일 것으로 보여짐. 스트루바이트 결정도 보이는 바 또한 영향있을 것. 이에 준해 내복약 처방했고 항생제 감수성 결과에 따라 내복약은 변경될 수 있음. 비장 결절의 경우 year 전보다 더 커지고 양상을 보아 악성도 평가 필요함. ct 촬영 안내드림. 전이여부 체크하고 비장적출술 여부 결정하기로 함. 보호자 분 고민해보시기로 함. 갑상선기능저하증 평가 필요함. 아이덱스 의뢰하였고 결과에 따라 내복약 투약 안내될 예정. month 주일 뒤 재진 예정. 증상 체크 및 의뢰검사결과 안내 예정. ,갑기저,8, 방광염 , 비뇨기과 질환 ,혈뇨,혈뇨,1980,4
Mixed(혼합),F,2126,D_VIP,s 오늘 목욕이후 많이 떨고 힘이 없고 숨쉬기 힘들어 함 제대로 걷거나 서있지 못하고 비틀거리며 물도 많이 먹고 오줌도 많이 쌈 배에 힘도 주고 있음 구토는 없었고 연변 회 점심까지는 먹었는데 저녁은 먹지 않음 공릉역에 있는 스마일 플러스 동물병원다님 오늘도 가서 정기검사인 수술재진과 혈액검사 초음파 검사했는데 특이사항 없었다함 그병원에서 일주일전에 생식기 종괴 수술함 심장약은 최초 본원에서 처방된대로 스마일플러스동물병워네서 먹이고 있음 mental alert mmc pink plr p 호흡은 쌕쌕거림 복압상승 척추촉진 특이사항 없음 방사선 혈액검사 원내보행시 제대로 걷지 못하고 서있을때도 좌우로 휘청 tx mpss mannitolg kg cime time kg cepha time kg iv ddx 뇌질환 경추 ivdd ce 뇌질환 경추신경계 이상으로 인한 신경증상으로 보이며 확진은 mri검사로 합니다. 자세한 사항은 주치의 선생님과 상담합니다. 최소한 내일까지는 처치및 경과봅니다. 우선 신경계쪽 일반적인 처치합니다. 청구비용은 완납 비용부담있으십니다. ,없음,40, 경련 발작 (원인 미정) , 신경 질환 ,신경증상(이상행동),신경증상(이상행동),541,0
