품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Schnauzers( 슈나우져),F,2092,D_VIP, cc 혈뇨 피부질환 hpi 약 두달전에 생리함 생리 끝날무렵 미용함 이후 피부에 각질 유사 피부증상 보임 약 한달반전부터 엉덩이 주변 핥고 뇨에 피가 섞임 month 전 로이동물병원 방문하여 별다른 검사 없이 생리에 대한 잔여 영향으로 섞여 혈뇨인것같다라고 들으심 당시 피부 이전에는 피가 조금씩 묻어있는 양상이었지만 어제는 다량의 혈뇨 관찰됨 뇨량 오줌이랑 전반적으로 섞여있는양상 배뇨 자세를 여러번 보이고 화장실을 자주 왔다갔다하며 안절부절 못함 증상 보이는 시점 주변 특별히 잘못먹은건 없음 심장사상충 예방 안하심 호흡은 다소 양호한편이나 간헐적인 켁켁거리는 증상 보임 평소 뇨를 참는 성격아님 항문낭 평소에 잘 안짜주심 phi med month 전 로이에서 피부약 처방받음 sur tru vac 기초 boosting diet dog 랑 month 전에 사료 변경 피부 저알러지사료 eh indoor with 마리 푸들 사이 좋지않음 systemic gen 활력 및 식욕 양호 음수력 양호 skin 지루성 피부질환 들으심 nervous eent 눈은 평소 안좋음 res cv gi ur for this symptom rep 생리 한달반전 종료 뇨검사 염증 세포 및 구균 확인됨 복부초음파 full scan imaging dx ddx renal cyst urolithiasis cystitis comment 우측 신장의 . time 크기의 낭포 확인됨 그 외 신장의 크기 모양 피질에코 양호 방광 벽 비후 time 및 방광 내 다수의 거대 결석 확인됨 radiologist 이현아 dvm ms cystitis urolithiasis 혈뇨를 주증으로 내원한 환자로 금일 영상 검사상 방광내 큰 크기의 결석 개 관찰되며 현재 폐색을 유발하지 않음 방광벽 심한 비후 확인되었음 뇨 검사상 다수의 염증세포 및 구균 확인되었음 수술적 제거로 방광염의 원인인 방광결석 제거 필요 안내드렸으나 보호자님 심한 비용 부담으로 내복약 처치만 원하심 방광염에 대한 대증처치 처방함 보호자님 상태 모니터링후 재내원 예정 ,방광염,8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,1010,11
A.Cocker Spaniel(아메리카 코커),F,2126,C_잠실ON,새벽 두시에 시골길에서 발견해서 집으로 데려옴 사료를 먹지않아서 설탕물 먹임 기운없이 늘어져있어서 내원 혈뇨 방광염소견. 내강에 슬러지 확인. status epilepticus 내원후 경부터 발작 시작. 집에서부터 전조증상 있었음. time 이상 멈추지않고 지속. tx dz time kg im 회 이후 propofol cri cepha sc tramadol iv 수액 d vitb vitc taurin 보호자 상담 용 . mri는 보류해놓은 상태. 정확한 진단이 나지 않은 상황에서 위험성을 안고 치료하고 있음 고지. 경기도에서 발견하여 데리고 오셨으며 법적 절차 문제로 해당 시 군청에 유기견 신고를 해 놓고 치료할것을 권해드렸으나 보호자분 원치 않으셔서 책임하에 치료 해달라고 말씀하심. 정오부터 propofol cri로 들어가고 있으며 속도 time hr 로 조절중. 중간중간 포폴 스톱하여 보았으나 증상 개선되지 않아 유지 중. 금일 밤 time 경 다시한번 항경련제 끊어볼 예정. tx. mpss time kg tid. mannitol kg sid cepha enro. time 경 통화 시도 하였으나 보호자분 통화 안됨. ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,579,3
Shih Tzu(시추),MN              ,2046,F_센트럴,cc time 양 등뼈 섭식후 흉부 식도 걸림 바우미우에서 방사선 혈검 후 내원 crp tx 내시경하 이물 위내로 밀어 넣음 ce 추후 month 간 식도염증에 의한 천공 가능성 있음 금번 치료 이후 식도 섬유화로 식도폐색 유발가능 구토증상 propofol time ,,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,149,8
Shih Tzu(시추),MN              ,2061,G_부천이지, day 점심때부터 관장 약 먹여주셨고 어느정도 배변 함 어제부터 금식 약 먹이실때만 간식 급여 술전 보호자 상담내용 수술명 항문낭 절제술 eyelid wedge resection skin tumor removal 술전검사 결과 특이사항 chemistry nrf cbc nrf ray nrf sono nrf 수술전 처치 항생제 세파 진통제 트라마돌 fluid ns 마취방법 호흡마취 isoflurane 수술접근과 방법 오후관리사항 food 식사종류 양 당일 수술로 금식 식욕상태 급식방법 urine feces etc 치료 및 상담내용 tx e ,,"24,4", 항문 낭 (동맥) 염 / 항문 낭 (동맥) 파열 , 소화기 질환 ,"삼출물, 분비물, 농루,통증","삼출물, 분비물, 농루",304,7
Golden Retriever(골든 리트리버),F               ,2077,G_부천이지, month time 부터 움직임 저하 수액 처치후 다음날 퇴원 퇴원후 집에서 벽에 머리를 박고 있음 검사시 암모니아 수치 상승 부평 동물병원에서 입원 month 식욕 있었다고 함 이전에는 혈뇨 증상으로 진료 받음 양배추 먹고 난후 혈뇨 증상 없어짐 작년에 틱증상 보임 머리 이후엔 증상 없었음 검사 방사선 검사 초음파 검사 혈액 검사 부평 종합 동물병원에서 pss 의심되어 내원 ct 촬영 권유 했다고 함 ct 촬영 수액 처치 마취 졸레틸 cc 촬영부위 복부 splenic vein으로부터 shuent vessel 나와 우측 신장 cranial pole 수준에서 후대정맥으로 유입. shunt vessel 직경은 splenic vein cm직경 에서부터 나와 cm 직경으로 이어지다가 후대정맥으로 유입되기 전 time 로 급격히 줄어듦. 간으로 들어가는 정상적인 문맥 직경은 time 로 대동맥 cm 과 비교시 많이 위축되어있음. 양측 신장 수질내 점상 형태 결석 확인. 방광 결석 없음. 우측 신장 초음파에서 확인되었던 cyst는 조영증강되어 단순 cyst 아님. cm 결절로 이후 크기 변화 체크 필요. ,,"28,40", 문맥 션트門脈体순환 샨트 PSS , 간 · 담도계 및 췌장 질환,"기력저하,신경증상(이상행동)",기력저하,565,0
Russian Blue Cat(러시안 블루 고양이),F,2203,D_VIP,중국분 어디서 어떻게 그런것인지 모름 왼쪽 뒷다리 새끼발가락 절단 본인의 고양이가 아니고 여행간 친구 고양이 예방접종 완료 alert aus nrf 심박 호흡수 안정적 출혈 거의 없음 왼쪽 새끼발가락과 패드부분이 도려낸것 처럼 아예 잘려 나감 tx 주사마취후 소독후 남아이쓴 발가락뼈 짧게 자른후 피부봉합실시 cepha famo tra iv 중국분이긴 한데 한국말은 잘 이해하심 어제 청구비용은 완납 오후 time 에 연락 드린다 했고 드레싱 한번 하시면서 보시고 저녁쯤에 내복약 지어서 퇴원시키면 될것 같습니다. ,,0, 상기에 해당하지 않는 근골격계 질환 ,근육 골격 질환 ,기타 증상,기타 증상,288,1
K.C(Korean Cat),MN              ,2087,D_VIP, 주간 by 윤 내일부터는 crea만 재겠음 정상변 배변함 cbc상 wbc 높으나 도말상 stress leukogram 보이고 있어서 주사제는 cefa famo만 두고 모두 중단함 ,Pancreatitis,"28,1,21", 만성 신장 질환 (신부전 포함) , 비뇨기과 질환 ,"기력저하,구토(급성/만성),식욕부진, 식욕저하",기력저하,101,0
Shih Tzu(시추),MN              ,2155,G_부천이지,우측 상안검 mass 검은색 time 정도 크기의 원형 mass 소양감 없음 예방접종 사상충 예방 중 흉복부 방사선 검사 심장 폐 혈관 폐에 특이적인 소견 관찰되지 않음 목 등쪽 피부에 골 밀도 물질 관찰됨 cataneous calcinosis로 생각 간의 caudoventral margin이 늑골궁 밖으로 약간 뻗어 있어 미약한 간 비대 의심 초음파 확인 필요 방광 내 원형 골 밀도 물질 개 관찰. 방광 결석으로 생각됨. 복부 초음파 검사 간에 특이적인 소견 없음. 담낭 내 소량의 슬러지 관찰. 방광 내 소량의 cristal 과 결석 관찰. 양측 신장 nsf 췌장 nsf fna 검사 전북대학교 의뢰 상담 방광 결석 ca bun 수치 상승 지속적으로 모니터 권유 오늘 세포 검사 의뢰후 결과에 따라 수술 방법 결정 예정 ,2092,221, 눈 및 부속 기관의 종양 질환 , 눈 및 부속 기관의 질환,"종괴, 혹, 낭종","종괴, 혹, 낭종",407,9
A.Cocker Spaniel(아메리카 코커),M,2227,A_라라,s 내일 항문주위 선암종 제거 중성화 항문낭 제거 수술 받기로 함. 매우 얌전함. 항문주위 선암종 중성화 항문낭 제거 술수 day 에 퇴원 마취전 검사는 month time 미리 실시함 ,,221,,,"종괴, 혹, 낭종","종괴, 혹, 낭종",104,9
Maltese(말티즈),FS,2275,B_W,집에서 부부싸움과정에서 집어던졌다고함 내원시 두경부에 혈액이 묻어있었으나직접적상처에 의한 출혈이 아니고 보호자의 혈액인듯함 처음내원시 약간 흥분 약간 공격적이었으나 좀뒤에는 얌전해짐 일단 입원치료하면서 지켜보기로함 방사선상과 외관상 신체검사시 특이소견은 관찰되지 않음. dimer만 상승. 전반적인 상태양호. 내일 오전에 dimer와 전해질 재검하고 퇴원 고려. ,,15, 사고 (교통 사고 포함) ,전신성의 질환,출혈,출혈,203,10
Hedgehog(고슴도치),F               ,2269,F_센트럴, history 며칠 전에 목욕시키실 때 하얀색 움직이는 외부 기생충 확인 month 사이에 컨디션이 많이 저하된 것 같음 왼쪽 뒷다리는 힘을 주지 못하는 것 같음 month 정도 전부터 먹는 양이 절반 정도로 줄었습니다. 눈도 혼탁한 듯 objective bcs 두부에서 소형의 진드기 관찰됨 금일 외부 진드기 제거제 적용하고 댁에서 베딩 교체하실 것 마취 위험성 고지 안정되면 진정 하에 하단의 검사 권장 임상증상 악화 시에는 즉시 내원하실 것 ,2087,"28,21,29", 기타 기생충 증 ,전신성의 질환,"기력저하,식욕부진, 식욕저하,부전마비, 완전마비",기력저하,251,0
Poodles(푸들),F               ,2257,D_VIP,cc 사람감기약 섭취. 전화상담 내용 파워콜에스 연질 캡슐을 아이들이 뜯어 먹음. 성분 dl 메틸에페드린염산염 time 구아이페네신 time 아세트아미노펜time 카페인무수물 time 클로르페니라민말레산염 time 누가 어느정도 먹은 지도 정확하지 않음. 지금 특이사항은 보이지 않는다고 하심. 언제 먹었는지는 알 수 없음. 구토 흔적없었음. 알은 조금씩 터져있고 한알은 아예 터져있었음. 침대에 가루가뿌려져있었음. 활력 양호. 청진 양호. 체온 양호. a nrf 아세트아미토펜 중독 가능성 약함 개 time kg 독성용량이나 캡슐에time g가 함유되어 있어서 한캡슐이라도 먹었으면 위험할 수 있음. 아세트아미노펜 중독 증상 개는 주로 간독성을 나타내며 침울 수시간 내 구토 복통 어두운색 뇨 month 내 사망가능성 안내드림. 먹은지 오래되지 않았으면 혈액검사상 특이사항 보이지 않을 수 있음. 컨디션 양호하여 혈액검사 결과 정상수치라 집에 돌아가셔서 아이들 상태 모니터링 하기로 하였으나 걱정되셔서 다시 입원시키심. 수액 처치 s vit vit 타우린 카토살 ornipural 유지배. 식욕 활력 구토 배변상태 모니터링 예정. 중독 증상 발현시 acetylcystein 투여 예정. 특이사항 없으면 익일 오후 퇴원예정임. ,,25, 인체 약물에 의한 중독 ,전신성의 질환,이물,이물,631,8
A.Cocker Spaniel(아메리카 코커),MN              ,IVDD,E_24시아이, 어제부터 잘 안움직이고 달려나오지 않아요 배에 힘을 많이 주고 움츠려있습니다. 구토 설사는 없어요 앉아만 있을려고 합니다. 일주일전에 목욕 시킬때 쓰러진적 있어요 유난히 평소에도 목욕은 좋아하지 않았는데 그때 유난히 거부반응이 있어서 질질 끌고갔엇습니다. 곰곰히 생각해보니 많이 아파했던거 같아요 윤부원장 전조증상이 분명 있다고 설명했을떄 보호자가 말씀하신내용 워낙 잘먹는 강아지인데 오늘은 간식에도 반응이 었고 전혀 안움직일려고 합니다. 어딘가 불편해보여요 배변보기 힘들어함 식욕 활기 백신 사상충 ivdd 초기 grade month 적극적인 처치가 예후가 좋다고 설명드림 신경계검사 오른쪽 다리를 까치발처럼 살짝 딛음. 서있지 못하고 자주 주저앉음 보호자한테 확인해드렸음 재발가능성 고지 체중조절 중요성 강조 피부치료는 통증 제어 된이후 치료 하기로. month month time 저녁 time 까지 퇴원 ce 퇴원시 내복약 별도 청구됨을 고지함 약값 money month 뒤 재진 연계 부탁드립니다. month 간은 내복약 연계해야한다고 설명드렸음 디스크 브로셔 나갔음. . ,-,"28,5",,,"기력저하,기침",기력저하,551,0
Chihuahua(치와와),MN              ,2170,D_VIP, 적립금 모두사용 money 식욕 활력 양호 배변 배뇨 양호 금식완료 혈액 검사 정상 흉부 방사선 상에서 심장 la 약간 비대 확인 청진시 심잡음 확인 bp time hg 심장초음파 by hyuna findings mv remodeling moderate mr moderate to severe la 확장 기능저하 압력 증가 등은 관찰되지 않음 ddx degenerative mirtal vlave disease comment mr 있으나 cardiac remodeling 관찰되지 않습니다. 치과치료 by 최이돈 원장님 치주염에 의한 발치 money money money 좌측 상악 송곳니 palatal side 치조골 depth 손상 amox cla time kg strepto time kg bid days 불린사료 month 동안 일주일 후 치아 재진 month 뒤 심장 초음파 재진 ,2001,15, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,출혈,출혈,443,10
K.C(Korean Cat),MN              ,2273,F_센트럴, history 가게에서 키우는 아이 외출묘 산책 다녀온 이후로 출혈 심하고 혈액성 구토 접종 미완 objective severely depression hypotension time hg systolic microcardia hypovolemic shoke에 준하여 처치 폐출혈 위장관 및 방광 손상의 가능성 고지 밤 사이 응급 증상 유발의 가능성 수준의 사망 가능성 고지 익일 안정 시에 골절 부위 등 추가적으로 확인 양호 시 환부에 대한 수술적 교정 고려 ,2283,"15,101,74", 외상 (타박상 / 찰과상 / 타박상) ,전신성의 질환,"출혈,혈토,쇼크, 저혈당쇼크",출혈,258,10
Pomeranian(포메라이안),FS,2101,D_VIP, refer. 의뢰병원관련 진료전 전화완료 진료후 전화완료 전화 안받으셔서 카톡. 주호소 pyometra susp. 현증경과 미용을 하다가 생식기에서 삼출물 발견하여 의뢰병원에 내원하심. 초음파 검사 결과 자궁축농증 의심. 오늘 오전 구토. 닭가슴살 섞어주지 않아서 어제하루 밥 안먹음. 간식은 잘 먹음. 다음다뇨 증상은 예전부터. 닭고기 등을 먹을 때는 변이 무른적이 많음. 생리 안한지 꽤 오래됨. 청진상 심잡음 있어 의심됨. 예방접종 접종 및 사상충예방은 안하심. 신체검사 mental alert hr rr bp bcs 혈액검사 cbc thrombocytosis chem mild bun elevated crp normal range dimer normal range 영상검사 방사선검사 흉복부 by hyuna findings 사이의 척추체 배쪽증식 심하게 관찰됨 척추사이공간 매우 좁게 관찰됨 ddx spondylosis deformans intervertebral disc disease 복부초음파 full scan by hyuna findings 양측 신장 피질 에코 상승 불규칙한 변연 실질의 부분적인 석회화 좌측 부신 종대 time 양측 자궁각 확장 및 에코성 액체 저류 좌측 time 우측 time imaging dx ddx chronic kidney disease hyperadrenocorticism uterine complex mucometra hydrometra pyometra dx ddx uterine complex 현재 자궁 점액종에서 자궁 축농증으로 진행되고 있는 단계로 판단됨. 진행속도는 알 수 없으나 자궁축농증으로 진행되고 난 뒤 수술할 경우 지금보다 마취 위험성은 더 커질 수 있어 가능한 빠른 수술을 권유해드림. 전에 다른 아이를 수술 후에 잃은 적이 있어 수술에 대해 걱정이 많으심. 일단 내복약 처방 후 고민해보시고 전화 다시 주실 예정. rx 식이 고지방 식이 고단백식이는 제외하고 먹이실것. 내복약 cephalexin time kg bid metronidazole time kg bid streptokinase time kg bid 수술 결정되시면 month 정도 입원하면서 수액처치 진행 후 수술 진행 원하심. 내일이라도 전화주실수 있음. ,,24, 자궁 축농증 , 생식기 질환 ,"삼출물, 분비물, 농루","삼출물, 분비물, 농루",1113,7
Pekingese(페키니즈),MN,2092,C_잠실ON, 혈뇨와 관련하여 방광결석이 혈뇨의 주 원인일 것으로 판단. 요도안에는 아직 없으나 방광내 요도쪽으로 가득 차있어 수컷인 점을 감안 빠른 수술적 교정이 필요할 것으로 보임. 방광결석 제거 수술 time 가량의 결석 개 방광 중간에 위치한 것만 제거 못함 보호자 결석이 상피세포와 붙어있을 가능성이 있고 제거하려고 했지만 잘 안되었다. 더이상 건들면 방광벽 파열 등의 차적인 문제가 발생할 수 있으므로 그냥 남겨놓을수 밖에 없었다,,8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,239,11
Siamese Cat(샴 고양이),MN              ,normal,E_24시아이, 건강검진 식욕 활기 백신 사상충 rad us nrf a ph all neg 요짐전물검사 all neg 노령원성의 변화 . ,x,0,,,기타 증상,기타 증상,69,1
Pomeranian(포메라이안),FS,2071,D_VIP, money 선납 by 진원 time 오후 time 부터 원래 활발했는데 기력없음 소변을 아무대나 싸고 다녔음 평소 식욕왕성하나 조금 먹고 나서 다 구토 묽은 변 밥에 설탕물을 타주셨는데 먹고 발작을 일으킴 사상충은 여름때 까지 하고 안한지 몇달 됨 며칠전 야외로 놀러 갔다 옴 aus no murmur mmc pink hr rr 복압없음 blood work 특이사항 없음 ray key hole susp. tx meto famo iv cerenia sc s fold ce 경련한번 한것은 앞으로 더 하는지 모니터링 하기로 합니다 증세 반복시 mri 필요합니다. 금일은 구토로인해 전해질 불균형 이 심화된 상태이므로 위장관염에 대해 내일까지 대증처치 합니다. 보호자분이 오후 time 에 퇴근하시기때문에 괜찮아지면 time 쯤 퇴원원하십니다. 다리때문에 원인도 밝히지 못하고 치료도 되지않고 오랫동안 고생하셔서 약간의 동물병원 불신이 있으셔서 잘 설명드렸음 보호자분 퇴근후 time 쯤에 연락주신다 하니 특별한일 없으면 그쯔음 전해질 검사 한번 더 하고 위장관염에 준한 약 지어서 퇴원준비 하면 되겠습니다. 야간 by홍 식욕왕성 구토 발작 없음 배뇨확인 배변없음 위내용 보호자통화 완료 주간 by 혜 활력 양호 구토 없음. 발작 없음. 전해질 검사 양호. 보호자님 통화 후 퇴원진행. 내복약 month 분 처방. 가지고 계신 유산균 먹여주세요. 두개골 방사선검사결과 coms 의심소견 안내드림. 발작 이외에도 circling 안구진탕 등의 신경증상도 모니터링해주실 것 당부드림. 흥분 오래 짖는것 등 뇌압상승 요인 피해주실 것 안내드림. ,,"28,1", 구토 / 설사 / 혈변 (원인 미정) , 소화기 질환 ,"기력저하,구토(급성/만성)",기력저하,805,0
K.C(Korean Cat),MN,2090,C_잠실ON,cc 배뇨곤란 처음 구토는 지역병원에서 진단 후 요 카테타 장착 보름 간격으로 카테터 장착을 실시함 time 째 카테터 장착과 제거를 반복하는 중 지난주 day 회차 카테터 제거 후 배뇨 잘 함 금일 정오쯤 구토가 확인되었으며 화장실에 앉아서 오랬동안 자세를 취함 오줌만 보면 되니 회차 카테터 장착 위해 내원 원래 다니는 병원이 월 화 휴무라 함 아이의 상태 확인을 위한 검사 후 카테터 장착이 필요하다고 판단이 되면 실시 할 수 있으나 아이의 정확한 상태를 알지 못한채 카테터 장착만 실시할 수는 없음 . 혈액검사 leukocytosis cre hypokalemia gas imbalance . 뇨검사 혼탁뇨 usg normal range lower margin 구균 간균 다량 확인됨 . 방사선 초음파 양측 신장의 에코 상승 irregular margin 방광 요도 유동성확인되는 개의 결석 골반강 caudal margin 포피 사이 결석 개 확인 신장의 상태 정확한 확인을 위해 upc sdma 뇨배양검사 지시됨 일반적으로 혈액검사상에서 신장의 수치 상승이 동반될시 신장의 이상 손상되었다고 판단이 되며 정확한 판단을 위해서는 추가검사가 지시됨 검사 중 소변 흘러나왔으며 초음파 검사시 방광의 확장이 수반되지 않음 현재 아이의 임상증상이 배뇨 곤란에 의한 증상이 아닌 감염 및 신부전 진행에 의한 증상일 수 있음 신장의 변화를 유발하는 원발원인 결석 제거와 감염 관리 항생제 처치 수액처치 가 시급하며 아이가 소변을 보고 있는 상황에서 카테터 장착이 지시되지 않으며 반복적인 카테터 장착 후 귀가 카테터 장착하고 뇨팩 연결하지 않을 상태로 귀가 가 감염의 직접적인 원인일 것으로 추정됩니다. 추가적인 카테터 장착은 아이의 요도에 iatrogenic 한 손상을 유발할 수 있으며 결석의 움직임에 의해 요도가 폐색될 경우 응급처치로 카테터 장착이 지시되나 현재 배뇨가 되고 있는 상황에서 마취를 수반해야하는 카테터 장착이 아이에게 필요하다고 판단되지 않음 현재 환자는 추가적인 신장 손상을 위해 결석제거 및 수액처치 감염 컨트롤이 지시됩니다. 수술비 안내 방광결석 month 입원 요도로 조성술 추가 time 입원 ,2087,8, 급성 신부전 , 비뇨기과 질환 ,혈뇨,혈뇨,1074,11
