품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Poodles(푸들),F,2130,B_W,집에와서 안주고 쿠션위에올려놓으자마 갑자기 기절 기립불능및 코마상태 전화주시고 바로 데려오심. 내원당시 긴장한상태이며 전화상 상태보다는많이 호전이 됨. 입주위와 얼굴주위 털에 알수없는 이물조각과 고춧가루등이 발견됨. 심장 및 혈액 검사상 특이사항 없음 복부 초음파상 특이사항 없음 두개뇌 질환 의심된는 상황으로 mri검사 필요할 것으로 보임 추후 증상 재발시 검진 진행예정 mri검사를 통해서도 진단되지않을 가능성 특발성 간질 등 말씀드림 ,,1601, 실신 및 허탈 (원인 미정) , 신경 질환 ,실신,실신,246,13
Miniature Schnauzer(미니어쳐 슈나우져),MN,2244,D_VIP, refer.서울종합 의뢰병원관련 진료전 전화완료 진료후 전화완료 금일 진단결과 안내드림. 원장님 요청사항 주호소 당뇨평가 체중감소 식욕부진 식욕은 있으나 먹지 못함. 구토 기력저하. pupd 현증경과 눈꼽이 자꾸 끼고 어제부터 구토 보임. 식욕은 있으나 구토 때문에 먹지를 못 함. month 간 안약 넣을 땐 눈꼽 안 끼나 중단하면 다시 눈꼽 낌. 그래서 month 전 재내원하였고 혈액검사 하고 주사 맞고 내복약 처방받음. 다음 날부터 구토 보이고 밥도 더 못 먹고 기력 매우 떨어짐. month 정도 기력 떨어짐. 잠만 많이 잠. pupd 심함. 물 매우 급하게 먹음. month 사이 체중이 조금씩 빠짐. 원래 kg 되던 아이. month 사이 급격히 체중감소 더 심함. 배변상태는 양호함. 관리 받는 질환은 없음. year 부터 키우심. 예방접종 어릴 때만 진행. hw 먹는 제제 간헐적으로 사육환경 indoor. alone. 사료 일반사료. 요근래 table food 많이 먹어서 편식 약간 하는 편. 신체검사 mental alert. hr rr bp bcs mmc pink crt 탈수평가 dehydration. delay skin turgor. no murmur no crackle. 혈액검사 cbc c hyperlipidemia 내원 시 혈당 전해질 fructosamine sdma 영상검사 방사선검사 imaging dx ddx hepatomegaly comment 간의 심한 종대 확인됨 복부초음파 full scan imaging dx ddx hepatic lipidosis secondary to diabetes peritoneal effusion peritonitis acute pancreatitis gastroenteritis comment 간의 전반적인 비대 및 에코 상승 환자의 연령을 고려할 때 당뇨 원발성 지방간의 가능성 높음 간 지방 사이의 미량의 복수 관찰됨 담낭 내 점액성 슬러지 관찰되며 담낭벽의 점액 축적은 미약하나 추후 점액종으로의 발전 가능성 있으므로 초음파검사로의 추적관찰 추천됨 췌장 우측엽의 에코 저하 및 비후 time 는 심하지 않으나 중상복부의 복막염이 중등도 이상으로 확인되며 복압 항진에 의해 췌장 좌측엽 관찰이 불가하므로 혈액검사 등으로의 췌장염 감별 필요 방광목 근위요도 위치의 소량의 고에코 슬러지 관찰됨 방광벽은 양호 위 및 소장의 운동성 저하 관찰됨 위내 다량의 액체 저류 췌장염 복막염에 의한 차적 염증성 변화의 가능성 있음 radiologist 이현아 dvm ms vip동물의료센터 영상의학과 과장 direct tel 내선 mail vip radiology vipah.co.kr 요검사 usg money ketone glu rbc 요침사 상 nrf dx ddx diabetic ketoacidosis protein losing nephropathy diabetic nephropathy susp. chronic kidney disease pancreatitis cholestasis dka 확인되어 입원 하 처치. pancratitis도 의심됨. 췌장염에 의한 형당뇨 가능성도 존재함. 향후 수치 및 증상 모니터링하며 지켜 볼 예정. dka의 경우 예후 불량할 수 있음을 고지함. rx 식이 d 소량 식이test tx 수액처치 plasma solution kcl time eq taurine ornipural vit vit fold. time hr 주사제 regular insuline iu kg im iu kg sc famotidine time kg bid iv metocloramide time kg bid iv maropitant time kg sid sc tramadol time kg bid iv metronidazole time kg bid iv 입원 하 당곡선 체크 예정. ,"췌장염, PLN","27,28,1,10", 당뇨병 ,내분비 질환 ,"체중 변화, 체중 증가, 체중 감소 ,기력저하,구토(급성/만성),다뇨/다발(다음)","체중 변화, 체중 증가, 체중 감소 ",1880,17
Mixed(혼합),M               ,2140,D_VIP, money 선납하셨습니다 세익 교상 산책 중 교상. 큰 허스키와 만난 후 time 산책 후 접종 심장 사상충 예방 완료. 구토 설사 없음. 어제 저녁에 밥 먹음. 평소 치료 받던 질병 없음. 우안 결막 부종 및 출혈. 전안방 출혈. 우측 시력 소실. 마취전 검사상 특이사항 없음. p 아이가 통증을 느껴서 마취 후 안구 상태 확인하기로 함. 결막은 심하게 붓고 손상입었지만 각막부분은 상처 보이지 않음. 안구 부종 가라앉히고 눈 안정화 후 눈 상태 다시 체크할 예정. 의뢰 병원 통화 외과적인 치료보다 입원하에 내과적인 치료로 이어간다고 설명 드림. ,결막부종,34, 포도막염 (홍채 염 / 전 눈 술 출혈 포함) , 눈 및 부속 기관의 질환,교상,교상,309,3
Maltese(말티즈),M,2001,C_잠실ON, cc syncope 심비대 진단 받으심 작년 봄 샵에서 목욕 후 기침 심해져서 병원가셔서 방사선 촬영 후 심장병 진단 받으심 원래 다니시던 병원 진단에 의해 상태 심각하지 않아서 약은 먹지 않으시다가 상태 악화되서 약 먹은지 time 정도 되셨고 month 전 새로운 약으로 바꾸심 오후 time 쯤 숨을 가쁘게 쉬고 끙끙대고 내원 time 전쯤 time 쯤 강직 경직 보임 이런 적은 처음 혈액검사 방사선 촬영 등은 이번해 봄 쯤이 마지막. 치석이 매우심함. 치석이 매우 심한편이라 응급상황 지난 후 아이 안정되고 심장에 무리가 가지않으면 검사 후 스케일링 하시는 것이 좋겠다고 말쓰드림. . 혈액검사 통해 전반적인 신체상태 평가 방사선 사진 촬영통한 심장 폐 등과 각종 장기 파악 . 청진상 murmur 심함 . 혈압 측정 불가 한 . 혈액검사상 cbc ghp 전해질 정상범위 가스검사상 호흡성 산증 관찰됨 . 방사선 상 심한 심비대와 폐수종을 보임 . 호흡 곤란과 호흡성 산증을 보이므로 산소공급 . 호흡 개선을 위한 이뇨작용 촉진 tx. furosemide time kg per time dopamin cri po제 pimobendan time kg spironolactone time kg ramipril money mg kg plan. 금일 저녁은 이뇨작용 촉진과 산소공급통해 호흡개선 후 내일 아침 호흡안정되면 복부 방사선 예정 심장병이라 예상치 못한 돌연사 등의 가능성 고지함 현재 아이 심장과 호흡상태는 매우 좋지 않으나 다행히 혈액검사상 간이나 신장 등 장기의 이상수치는 발견되지 않아 이뇨제 투여 등으로 인한 다른 장기의 부담 등은 다른 노령견들에 비해 좀 덜한 편입니다. 보호자분께서 이후 케어 궁금해하셔서 일단 처음에는 심초음파 통해 아이 심장의 정확한 상태 파악후 한달에 한번 또는 상태에 따라 그 이상or이하 정도 아이 장기 상태 임상증상 등 고려하여 검사 후 약타가시면 되고 자세한 사항은 응급상황 해결 후 내과 전문 원장님과 상담하시기로 아이 안정시까지 며칠간은 입원하셔서 케어하시는 편이 좋습니다. 어머니 전화번호 tel 따님전화번호 tel ,,1601, 판막증 (의심 포함한 심장 잡음 + 심부전 증후 자), 순환기 질환 ,실신,실신,1050,13
Maltese(말티즈),FS              ,2119,F_센트럴,cc 헥헥거림 떪 안절부절못함 가끔 증상을 보임 month 지나면 스스로 좋아짐 가끔 멍하게 있는 때도 있슴.서성거리며 배회하기도 함. 오늘은 유난히 헐떡임 증상을 보일때는 식욕부진 동반 흉부방사선.양호 혈검.대체로 양호 p 간질 가능성 설명드리고 주간에 내원하여 진찰받을 것 권유드림. 진정제 처방.칼미벳 아세프로마진 ,,"35,21", 간질 , 신경 질환 ,"개구호흡,식욕부진, 식욕저하",개구호흡,179,1
Shih Tzu(시추),MN              ,2133,F_센트럴, history 심장약 투약 중 최근 실신 혹은 경련 증상 반복 모견 경련 후 사망 소견 이후 선회 및 peddaling 증상으로 미루어 신경증상 의심됨 month 전부터 설사 혈액성 설사 오렌지 동물병원에서 심인성 폐부종으로 판단되어 이뇨 처방 계속 받고 있음 objective no pulmonic edema astasia recumbency stupor mental plr tactile severely elevated liver enz. hyperphosphatemia elevated renal enz. ce mortality rate 이상 dnr ,,"40,1601,33", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"신경증상(이상행동),실신,떠는 증상, 경련 또는 미진",신경증상(이상행동),312,12
Russian Blue Cat(러시안 블루 고양이),FS,2087,D_VIP,s 섭식 문제 치아문제가능성 전보다 사료 먹을 때 부스러기가 나옴 구토 설사 없음. 식욕 매우 좋음. 킬로 조금 넘게 나갔음. 작년 month 검사 기록 crea bun 좌신 결석 신장 변형심함. 우신 위축 의심. 보조제 영양제 먹이시는 것 없음. 습식사료는 주 회 먹이시고 있음. 레날 사료 먹이시고 있음. chem bun crea elect nrf cbc no anemia usg money 등장뇨 upc normal range sdma 의뢰. 초음파 양측 renal atropy 방광은 양호함. iris stage np 신부전관리. sdma수치확인 후 재검주기 결정. ,,27, 만성 신장 질환 (신부전 포함) , 비뇨기과 질환 ,"체중 변화, 체중 증가, 체중 감소 ","체중 변화, 체중 증가, 체중 감소 ",321,17
Mixed(혼합),F               ,2091,D_VIP,기절 구토 외음부 삼출물 며칠 전 보호자분 몸살로 앓아누웠을 때 부터 계속 잠만 잠 이틀 전 새벽에는 놀다가 기절했음 의식 없었으며 외음부에서 노란 삼출물이 나왔음 전조증상 모호하며 금방 깨어나서 잘 다님 이후로 위액성 구토 회 있었으며 식욕 떨어져서 간식만 먹음 어제 정상변 본 이후 변은 없음 이물 가능성이 크지는 않으며 변 교육때문에 식초를 뿌려둔 적이 있었음 접종 예방 완료 alert vital sign 양호 mm pink dehydration no murmur crackles 혈액검사상 alkp 상승 두드러지며 crp 중등도로 높음 영상검사상 위벽의 두드러진 비후와 경미한 위확장 확인됨 간 실질 nrf 소장 nrf 복강 림프절 경미하게 종대됨 방광 내 다량의 슬러지 확인됨 질 도말검사상 다량의 염증세포 비각화상피 세균 확인됨 소변검사상 심한 세균성 방광염 확인됨 p 위염 세균성 방광염에 준해 내복약 처방합니다 위염 개선되지 않으면 조영검사 내시경검사 고려 세균성 방광염과 관련하여 항감수 의뢰중 방광염의 기본 치료기간은 month 이며 컨트롤 되지 않는다면 구조적 이상 확인 필요 기절 간수치상승 기절은 단회성의 이벤트이고 증상 모호해서 모니터 하기로 합니다. 간수치는 모니터 하되 개선되지 않으면 간기능검사 필요함 재발시에는 pss 배제 위한 ct 고려중 약 먹으면서 증상 개선 없다면 상위검사 및 입원관리를 위해 내원해주세요 재검 목 간수치 위벽비후 crp 리첵 의뢰병원 통화 완료 by 윤 ,"위염, 간수치상승","1601,1,24", 방광염 , 비뇨기과 질환 ,"실신,구토(급성/만성),삼출물, 분비물, 농루",실신,735,13
Doberman Pinscher(도베르만 핀셔),M               ,2014,G_부천이지,복부팽만 기침 하더니 일주일 전부터 복부팽만 운동 불내성 오래 전부터 증상 확인 복부 팽만 month 일 전부터 증상 확인 식욕 양호 변상태 양호 예방접종 사상충 예방 안됨 pe bcs heart murmur normal mucous men. 검사 사상충 검사 양성 혈액 검사 방사선 검사 초음파 검사 상담 심장 사상충에 의한 증상 치료 권유 일단 몇일정도 투약후 상태에 따라 치료 여부 결정 예정 내복약 처방 독시사이클린 time kg 에날라프릴 time kg 피모벤단 time kg 라식스 time kg 실데나필 time kg bid ,,"11,1302", 심장사상충(Heartworm disease), 순환기 질환 ,"복부확대(팽만),운동불내성",복부확대(팽만),301,8
스핑크스,F               ,normal,F_센트럴,hx 가정분양 분양한지 month 쯤 한달반 전쯤 눈이 뿌옇고 콧물이 나와 타원 남양주 병원 에서 투약 등을 month 정도 진행 치료 종료 시점 한달전 부터 비틀거리고 부딪힘 이전에는 아주 활동성 강했지만 증상발생 시점부터 움직임 별로 없음 구토 설사 등은 없고 식욕은 양호한 편 백신은 한적 없음 pe dull. ataxia ou 전안방 부종 iop os od bw g corona titer strong positive combo kit negative fip dry type 가능성 높음 mri 뇌척수액 pcr 검진 권장드림 pi 인터페론 스테로이드 치료 선택 추가적인 검진과 치료는 고려 후 문의 예정 pi time kg 주 회 po ,X,1303,,,운동실조,운동실조,360,15
K.C(Korean Cat),FS              ,normal,F_센트럴,c.c 수술후 회복 지연 과호흡 의식미약 중성화 수술한지 time 퇴원한지 time 용산구 퍼스 동물병원에서 수술함 퇴원후 밤 time 경 츄르 개 먹임 구강점막 창백 의식은 멍한 상태 chemistry 암모니아혈증 ray microhepatica 마취에서 회복될때까지 입원치료 하기로 합니다 초음파 및 간기능 검사는 time 후 진행을 권장함 ,X,"1401,51",,,"빈호흡,의식불명",빈호흡,193,11
Mixed(혼합),FS,2007,D_VIP, refer. 의뢰병원관련 진료후 전화완료 cc 선천성심장질환 의심 hpi 설사로 의뢰병원 내원하여 진료 중 심잡음 확인 심장 관련 증상은 특별히 느끼지 못하심 phi med for this symptoms sur 과거 중성화 당시에도 심잡음 듣고 검진 권고 받음 tru vac all hw 사상충 검사 의뢰병원에서 진행중 diet rc 일반사료 과거 오션포뮬라 단백질 식이 버박 치과껌 급여 후 과민반응 유사증상 eh indoors alone 산책 거의 안함 systemic gen 식욕이나 활력은 좋음 skin 식이 알러지 의심 특정 식이 급여 후 귀가 안좋아졌었음 nervous eent res cv 흥분시 청색증 gi ur rep ms ns bar bcs 외견상 특별히 stunting 증상은 뚜렷치 않음 normal lymph node apical beat severely increased thrill vi vi continuous murmur in lt base 방사선검사 흉부 imaging dx ddx cardiomegaly cardiogenic pulmonary edema pneumonia tracheal collapse comment 중증의 심비대 관찰 vhs 폐야의 전반적인 중등도 침윤 심장초음파 시 la 압력 높게 관찰되므로 심원성 폐수종의 가능성 높으며 폐렴 감별 필요 thoracic inlet 위치의 기관 허탈 관찰됨 심장초음파 ddx patent ductus arteriosus comment 폐동맥 내topda 파형 관찰됨 shunt size 약 time 로 측정됨 전반적인 우심 좌심의 미약한 확장 mpa ao ratio 이완기능 저하 stage edvi ref. 수축기능 저하 양호 esvi ref. la 압력 증가 severe a fusion peak time pda 이외의 ps as vsd asd 등의 선천성 심질환은 관찰되지 않음 radiologist 이현아 dvm ms vip동물의료센터 영상의학과 과장 direct tel 내선 mail vip radiology vipah.co.kr 검사결과 pds to 진단됨 임상증상이 없음에도 불구하고 리모델링이나 좌심방압력 등은 중증도 이상으로 곧 chf로 진행가능한 상태임 일반적인 치료 옵션 상담드리고 수술적 교정 용의 있으셔서 진행키로 함 오후 차 재검 투약 후 변화 bnp 재평가 등 당일 오후 외과 수술 상담 잠정적으로 오후 pda 교정 수술 진행 예정 ,,75, 동맥관 개존증 · PDA , 순환기 질환 ,심잡음,심잡음,1205,14
Mixed(혼합),F,2126,D_VIP,s 오늘 목욕이후 많이 떨고 힘이 없고 숨쉬기 힘들어 함 제대로 걷거나 서있지 못하고 비틀거리며 물도 많이 먹고 오줌도 많이 쌈 배에 힘도 주고 있음 구토는 없었고 연변 회 점심까지는 먹었는데 저녁은 먹지 않음 공릉역에 있는 스마일 플러스 동물병원다님 오늘도 가서 정기검사인 수술재진과 혈액검사 초음파 검사했는데 특이사항 없었다함 그병원에서 일주일전에 생식기 종괴 수술함 심장약은 최초 본원에서 처방된대로 스마일플러스동물병워네서 먹이고 있음 mental alert mmc pink plr p 호흡은 쌕쌕거림 복압상승 척추촉진 특이사항 없음 방사선 혈액검사 원내보행시 제대로 걷지 못하고 서있을때도 좌우로 휘청 tx mpss mannitolg kg cime time kg cepha time kg iv ddx 뇌질환 경추 ivdd ce 뇌질환 경추신경계 이상으로 인한 신경증상으로 보이며 확진은 mri검사로 합니다. 자세한 사항은 주치의 선생님과 상담합니다. 최소한 내일까지는 처치및 경과봅니다. 우선 신경계쪽 일반적인 처치합니다. 청구비용은 완납 비용부담있으십니다. ,없음,40, 경련 발작 (원인 미정) , 신경 질환 ,신경증상(이상행동),신경증상(이상행동),541,12
